,airbnb_listing_id,suburb,ad_name,number_of_bedrooms,number_of_bathrooms,star_rating,is_superhost,number_of_reviews
34,40617516,Centro,Apartamento centro de Florianópolis!,3.0,2.0,,False,0.0
35,30043566,Canasvieiras,Lindo apartamento beira mar no centrinho,1.0,1.0,,False,0.0
36,22085329,Ingleses,Ótimo Apto a 400 metros da Praia dos Ingleses !!!,3.0,2.0,5.0,False,4.0
37,30962391,Ingleses,Apto Superior em condomínio de luxo frente mar,,1.0,,False,1.0
38,39890076,Jurerê,"Bem localizado, perto de tudo em Jurere PSD301",2.0,1.0,4.5,False,7.0
39,30911755,Jurerê,Ap. inteiro a 3 min. da praia de Jurerê,1.0,1.0,5.0,False,8.0
40,27703138,Ingleses,Vacaciones Praia dos Ingleses. Apto Pé na Areia,3.0,2.0,5.0,False,6.0
41,32012975,Canasvieiras,Apartamento na beira da praia em Canasvieiras,2.0,1.0,,False,0.0
42,40346416,Canasvieiras,ÓTIMA COBERTURA PRÓXIMO DO MAR,1.0,1.0,,True,0.0
43,12669163,Ingleses,Pé na areia! Excelente localização,3.0,2.0,,False,1.0
44,31162160,Canasvieiras,Apartamento frente ao mar com vista incrível!,2.0,2.0,,False,2.0
45,30937580,Jurerê,Home Boutique Jurerê,1.0,1.0,5.0,True,83.0
46,40551587,Ingleses,Apartamento 106 - Solar das Oliveiras Ingleses,3.0,2.0,,False,1.0
47,22306097,Ingleses,Apartamento na Praia dos lngleses norte(gaivotas),2.0,2.0,,False,0.0
48,41347105,Ingleses,Apartamento localizada na praia dos ingleses,1.0,1.0,,False,0.0
49,39458106,Ingleses,FÉRIAS MARAVILHOSAS NA PRAIA!,3.0,2.0,5.0,False,3.0
50,20521035,Ingleses,"Recanto sossegado, próximo a natureza e o mar.",2.0,2.0,5.0,False,6.0
51,19709067,Ingleses,Charm Zinga,2.0,2.0,5.0,False,16.0
52,37800939,Jurerê,Apto confortável próximo da praia em Jurerê PSD202,1.0,1.0,4.5,False,26.0
53,41130327,Centro,Loft no centro de Florianópolis 05,,1.0,4.5,False,5.0
54,15647602,Lagoa da Conceição,ESTILO FAMILIAR,3.0,2.0,,False,1.0
55,16465836,Ingleses,Ape na melhor região dos Ingleses,1.0,1.0,5.0,False,29.0
56,23228189,Ingleses,"Confortável, completo e 30 metros da praia",2.0,1.0,5.0,True,7.0
57,23437990,Ingleses,Apartamento no Centrinho da Praia dos Ingleses,2.0,2.0,,False,1.0
58,30576799,Ingleses,Casa Ingleses l,2.0,1.0,5.0,False,4.0
59,38907561,Canasvieiras,Apartamento dois quartos Canasvieiras - Floripa,2.0,1.0,,False,0.0
60,31408382,Jurerê,Apartamento 400m da praia Jurere,1.0,1.0,5.0,False,3.0
61,40746456,Centro,Espetacular estúdio no melhor prédio de Floripa,1.0,1.0,,False,2.0
62,41223922,Jurerê,Apartamento com excelente localização em Jurerê,1.0,1.0,5.0,True,11.0
63,40706876,Lagoa da Conceição,Completo e aconchegante apartamento em Resort.,3.0,2.0,5.0,False,17.0
64,41372822,Ingleses,Apartamento próximo da praia das gaivotas nos ingleses IA03M,2.0,2.0,,False,0.0
65,28407525,Canasvieiras,Apartamento de 2 quartos na praia de Canasvieiras,2.0,1.0,4.5,False,5.0
66,41520047,Canasvieiras,Apto próximo as praias mais visitadas de Floripa,1.0,1.0,,False,0.0
67,19912544,Ingleses,Alto Padrão na Praia dos Ingleses! 30 Metros Mar!,2.0,2.0,5.0,False,15.0
68,22239657,Ingleses,Apartamento para temporada em Ingleses,2.0,1.0,4.5,False,3.0
69,9458893,Centro,Eu moro aonde você passa as férias!,2.0,1.0,5.0,False,23.0
70,32214852,Ingleses,Apto térreo Santinho/ingleses 2 praias A pé s/gara,2.0,2.0,,False,0.0
71,41148146,Ingleses,"Ap praia dos ingleses floripa2 quartos, centrinho.",2.0,1.0,,False,1.0
72,16625323,Centro,Centro Florianópolis melhor custo benefício.,1.0,1.0,5.0,True,205.0
73,41323212,Ingleses,"Lindo apartamento na praia, com três suítes!!!",3.0,4.0,,False,0.0
74,41937290,Ingleses,Florianópolis praia dos Ingleses ótimo apartamento,1.0,1.0,,False,0.0
75,1340681,Canasvieiras,ótimo apartamento praia de Jurerê,1.0,1.0,,False,0.0
76,31189869,Canasvieiras,Apartamentos 1 quarto Canasvieiras,1.0,1.0,,False,0.0
77,39030667,Ingleses,Ap. com Terraço Grande e Vista para o Mar (61),2.0,2.0,,False,0.0
78,38819991,Ingleses,Apartamento Completo de FRENTE para o MAR.,1.0,1.0,5.0,False,61.0
79,39868493,Canasvieiras,Tarot Residence ap 13,,1.0,5.0,True,6.0
80,29150507,Ingleses,locacao para temporada apartamento,2.0,2.0,,False,1.0
81,23786189,Canasvieiras,Merecido Mar,1.0,1.0,5.0,False,2.0
82,16365230,Jurerê,Jurerê - Melhor localização,1.0,1.0,5.0,True,76.0
83,5874814,Lagoa da Conceição,Loft na Lagoa,1.0,1.0,5.0,True,23.0
84,17512232,Canasvieiras,Res. Débora/ Apto de 2 dormitório,2.0,1.0,4.5,False,6.0
85,22669854,Ingleses,"Apto com ar cond, frente mar, piscina,p/ 5 pessoas",2.0,2.0,,False,1.0
86,29231979,Centro,BEIRA MAR NORTE AO SEU DISPOR,3.0,2.0,4.5,False,52.0
87,30820456,Ingleses,Amplo 3 dormitórios com suíte à 300mt da Praia,3.0,2.0,5.0,False,12.0
88,45252456,Jurerê,Lindo Studio dentro de Resort ILC1112,,1.0,5.0,False,5.0
89,21219492,Jurerê,Beach Village Suíte 5 pessoas,1.0,1.0,5.0,False,6.0
90,27488810,Ingleses,Incrível área de lazer no centrinho dos Ingleses!,2.0,2.0,,False,1.0
91,36342225,Ingleses,Apartamento completo a 5' a pé da praia,2.0,2.0,5.0,False,3.0
92,30091167,Ingleses,Apartamento a 200m da praia de Ingleses!,2.0,2.0,4.5,False,5.0
93,41652571,Lagoa da Conceição,Fantástico Resort vista frente Lagoa da Conceição,1.0,1.0,4.5,False,20.0
94,15971515,Canasvieiras,Cobertura de 3 dormitórios Praia de Canasvieiras.,3.0,2.0,,False,2.0
95,30082648,Ingleses,Apartamento de 2 Qtos vista da praia dos Ingleses,2.0,2.0,,False,0.0
96,22030829,Jurerê,APTO 1 DORM. C/Garagem em Jurerê Internacional.,1.0,1.0,5.0,False,14.0
97,9789900,Centro,Apto 4 quartos completo no Centro (AC Split/WiFi),4.0,2.0,4.5,False,13.0
98,21743850,Ingleses,Férias praia e piscina (2adultos+2crianças)!! E16,1.0,1.0,5.0,True,12.0
99,40283961,Ingleses,Apartamento top aconchegante a 150 metros da praia,1.0,1.0,5.0,False,3.0
100,38700080,Centro,Cobertura totalmente equipada na melhor localização CCO01J,2.0,2.0,,True,0.0
101,43677553,Jurerê,Suíte hotel Il Campanário Jurerê Internacional,1.0,1.0,5.0,True,27.0
102,38517512,Ingleses,"Completo, ar condicionado, piscina, wi-fi! A70",3.0,2.0,,False,0.0
103,21137174,Canasvieiras,Apartamento aconchegante em canasvieiras.,1.0,1.0,,False,0.0
104,21709754,Canasvieiras,Bonito apto so acomoda um casal perto da praia,1.0,1.0,5.0,False,9.0
105,16271766,Canasvieiras,Casa apartamento 3 Canasvieiras Florianopolis,2.0,1.0,5.0,True,17.0
106,33509830,Ingleses,"Edificio Ilha do Coral, Um quarto - Ingleses",1.0,1.0,,True,2.0
107,29305262,Ingleses,Lindo apartamento no centrinho dos Ingleses,2.0,2.0,,False,1.0
108,16345362,Ingleses,Aconchegante,1.0,1.0,5.0,False,10.0
109,23122053,Jurerê,STUDIO TOP RESORT Campanário Jurere Internacional,1.0,1.0,5.0,True,96.0
110,22307742,Ingleses,Belíssimo apto a 1 quadra do mar nos ingleses.,2.0,2.0,5.0,True,18.0
111,15754777,Jurerê,Lindo apartamento de frente para o Mar de Jurerê,3.0,2.0,,False,0.0
112,41530183,Canasvieiras,Residencial Bella Vitta,2.0,2.0,,True,1.0
113,27961933,Ingleses,Praia dos Ingleses,2.0,2.0,,False,2.0
114,30959896,Ingleses,Apto de frente para o mar na Praia dos Ingleses,2.0,2.0,5.0,False,9.0
115,38297845,Canasvieiras,COBERTURA COM VISTA MAR/ 1 QUADRA PRAIA/AR/WIFI/6P,2.0,1.0,5.0,True,41.0
116,22865624,Ingleses,Ingleses - Excelente apartamento a 100m da praia,2.0,2.0,,False,1.0
117,16545071,Ingleses,Lindo apartamento nos Ingleses 280 metros do mar,3.0,2.0,5.0,False,41.0
118,29129878,Canasvieiras,Apartamento 1 Dormitório Centro de Canasvieiras,1.0,1.0,,False,6.0
119,22728476,Ingleses,Excelente apartamento na praia dos Ingleses,3.0,2.0,4.5,False,5.0
120,22072760,Ingleses,Apartamento de 2 dormitórios com muito conforto,2.0,2.0,5.0,False,6.0
121,30017019,Canasvieiras,Apartamento em canasvieiras,2.0,1.0,,False,0.0
122,22452417,Ingleses,Apartamento no Centrinho dos Ingleses,2.0,2.0,,False,1.0
123,15886386,Ingleses,Uma delícia de COBERTURA a 100 metros da praia.,3.0,2.0,5.0,False,3.0
124,44997124,Ingleses,Apto no centrinho dos ingleses,2.0,2.0,,False,0.0
125,40387529,Ingleses,Florianópolis Ingleses mar infra completa,1.0,1.0,,False,2.0
126,45315499,Ingleses,AP completo nos Ingleses a 70 metros da praia Ar,2.0,2.0,,False,0.0
127,17526348,Canasvieiras,Apartamento confortável e com ótima localização.,1.0,1.0,5.0,False,11.0
128,38178213,Ingleses,Holiday Florianópolis - 246B,1.0,1.0,,False,0.0
129,18993245,Ingleses,"Na Praia, de FRENTE pro MAR  -  Apart. 4 Pessoas",1.0,1.0,5.0,False,34.0
130,39942409,Centro,Agradável apto no centro de Floripa,2.0,1.0,,False,0.0
131,33586392,Ingleses,Casa/Apto Duplex Amor à Ilha - Muito Px. a Praia,3.0,2.0,5.0,False,6.0
132,22587204,Ingleses,Mar doce Lar,2.0,2.0,,False,1.0
133,40198994,Canasvieiras,"Apto perto do mar , na Praia de Canasvieiras",1.0,1.0,,False,0.0
134,41254545,Ingleses,Espaçosa cobertura!,2.0,1.0,,False,0.0
135,42047339,Canasvieiras,Aconchegante apto da Vó Katia,1.0,1.0,,False,1.0
136,41279552,Canasvieiras,Apartamento em Canasvieiras 6 Pessoas Floripa,2.0,1.0,5.0,True,19.0
137,2291477,Ingleses,Apartamento sol e mar,2.0,1.0,,False,2.0
138,28481936,Ingleses,Apto completo próximo de tudo! Praia mercado etc!!,2.0,2.0,0.0,False,1.0
139,40490465,Canasvieiras,Cobertura c/ piscina e churrasqueira / Innbox,2.0,1.0,4.5,False,11.0
140,18694855,Ingleses,Apartamento a 30 metros da praia,2.0,2.0,4.5,False,15.0
141,40841394,Ingleses,Maravilhoso apartamento literalmente junto ao mar,3.0,3.0,,False,0.0
142,22354158,Jurerê,Apto. alto padrão de 2 dorm. no Open Shopping,2.0,1.0,5.0,True,22.0
143,32436943,Ingleses,"Alugo Ap em Ingleses, Florianópolis",2.0,2.0,5.0,False,3.0
144,16141455,Jurerê,"Floripa Jurerê, pé na areia! Apto 03",1.0,1.0,5.0,True,22.0
145,23090194,Ingleses,Alto padrão na melhor praia da ilha. Ingleses,2.0,2.0,5.0,False,5.0
146,42295683,Ingleses,Condominio solar das gaivotas,2.0,2.0,,False,0.0
147,21769120,Canasvieiras,Apto no comércio/praia Canasvieiras - 100m do Mar,1.0,1.0,4.5,False,31.0
148,16883392,Lagoa da Conceição,Resort na Lagoa na Ilha de Florianopolis,1.0,1.0,5.0,True,47.0
149,40755143,Canasvieiras,Excelente Apartamento pé na Areia - Praia de Canas,1.0,2.0,,False,0.0
150,27850220,Jurerê,Jurerê Intern. à 100 m da Praia no Open Shopping,1.0,1.0,5.0,True,8.0
151,29678493,Ingleses,Apartamento02 Turquesa,2.0,1.0,,False,1.0
152,31681935,Jurerê,Apto e localização excelente.. 2 quartos suítes,2.0,2.0,5.0,False,12.0
153,32434489,Canasvieiras,Acomodação  com saída pro mar,2.0,1.0,5.0,True,3.0
154,16336876,Centro,@blogcaroninha convida: apto espaçoso e no centro,3.0,2.0,4.5,False,91.0
155,36635068,Jurerê,Mirante do Canto 04,1.0,1.0,,True,1.0
156,6974802,Canasvieiras,Guest House charmoso e acolhedor 5,1.0,1.0,5.0,True,13.0
157,678519,Canasvieiras,"Santoro Galli 310.....Canasvieiras, Florianòpolis.",1.0,1.0,5.0,True,13.0
158,15634186,Ingleses,Alto padrão e com saída exclusiva para a praia!,,1.0,,False,0.0
159,40510027,Ingleses,Pé na areia! Apto na praia com vista privilegiada!,2.0,2.0,5.0,False,6.0
160,23040437,Canasvieiras,"Charmoso apto em Canasvieiras, Florianópolis",2.0,1.0,4.5,False,5.0
161,34470425,Ingleses,Praia dos Ingleses. Apto 2 dorm. Frente para o mar,2.0,2.0,,False,2.0
162,29981967,Canasvieiras,"Apartamento pé na areia, próximo de tudo.",1.0,1.0,,False,0.0
163,15869899,Lagoa da Conceição,Apto de 1 quarto em residencial no canto  da lagoa,1.0,1.0,4.5,False,27.0
164,30946593,Jurerê,Apartamento em jurere internacional,3.0,1.0,5.0,False,5.0
165,32470878,Canasvieiras,COBERTURA CANASVIEIRAS/VISTA MAR/1 QUADRA PRAIA/,2.0,1.0,5.0,False,8.0
166,6974807,Canasvieiras,Guest house charmoso e acolhedor 4,1.0,1.0,5.0,True,29.0
167,21358551,Ingleses,O melhor apartamento da Praia dos Ingleses.,2.0,2.0,5.0,False,17.0
168,30936651,Ingleses,flat com vista para mar - ampla infraestrutura 271,1.0,1.0,,True,0.0
169,34372747,Ingleses,"330 METROS DO MAR, AP 302, PRAIA DOS INGLESES.",1.0,1.0,4.5,False,18.0
170,16938893,Ingleses,Apto de 1 quarto na praia dos Ingleses - Central,1.0,1.0,5.0,False,17.0
171,11957519,Ingleses,Apto. T. Ingleses 02 quartos à 1 quadra da praia !,2.0,1.0,4.5,False,13.0
172,39627498,Ingleses,"APTO 2 QUARTOS, PRÓXIMO À PRAIA.",2.0,1.0,,False,0.0
173,43442412,Lagoa da Conceição,Apartamento Sossego na Lagoa,1.0,1.0,5.0,False,9.0
174,22446864,Centro,APARTAMENTO NO CENTRO DE FLORIPA - STUDIO 507,1.0,1.0,5.0,False,31.0
175,42856174,Ingleses,Lindo Studio na PRAIA DOS INGLESES,,1.0,,False,0.0
176,42663752,Canasvieiras,Cobertura no centro de Canasvieiras,4.0,2.0,5.0,True,14.0
177,35770384,Ingleses,Curtindo Florianópolis,2.0,2.0,,True,1.0
178,39693286,Ingleses,Moderno e Aconchegante na praia dos Ingleses,2.0,2.0,5.0,False,5.0
179,31388099,Canasvieiras,Apt Linda Vista - Beira da Praia - Canasvieiras,1.0,1.0,5.0,True,10.0
180,40591007,Ingleses,Apartamento junto ao mar.,3.0,3.0,,False,0.0
181,41980515,Canasvieiras,Apto todo mobiliado para alugar  em Canasvieiras,2.0,1.0,,False,0.0
182,23642570,Jurerê,Apartamentos em Jurere,2.0,1.0,5.0,False,4.0
183,32545822,Jurerê,"2 suítes, espaçoso e piscina em Jurere VDI208",2.0,2.0,4.5,False,33.0
184,30794862,Ingleses,Curtindo a praia tranquilamente!!,1.0,1.0,5.0,False,10.0
185,35001683,Canasvieiras,꧂Colors and comfort at Canasvieiras/Florianópolis꧂,1.0,1.0,5.0,True,10.0
186,17478818,Ingleses,APARTAMENTO DE UM DORMITÓRIO EM FRENTE AO MAR,1.0,1.0,,False,0.0
187,22565685,Jurerê,Flat Alto Padrão em Jurerê,1.0,1.0,5.0,False,12.0
188,40237093,Canasvieiras,Vista panorâmica frente ao mar em Florianópolis,1.0,1.0,,False,0.0
189,16768499,Jurerê,Loft aconchegante em Jurerê Int.,,1.0,5.0,False,4.0
190,39536159,Canasvieiras,"Apto novo 3 quartos, 450m da Praia de Canasvieiras",3.0,2.0,5.0,False,5.0
191,40571186,Ingleses,3 quartos com vista panorâmica- Bromélia house,3.0,2.0,,False,1.0
192,10588407,Jurerê,Apto com ar de casa em Jurerê,2.0,2.0,4.5,False,14.0
193,38751532,Ingleses,Kitnet para duas pessoas a 50 metros da praia,,1.0,,False,1.0
194,22282466,Lagoa da Conceição,LAGOA da CONCEIÇÃO verão/inverno ap 05,2.0,1.0,5.0,True,52.0
195,29518241,Canasvieiras,Apartamento de 1 quarto em Canasvieiras com ar,1.0,1.0,,False,0.0
196,31174218,Canasvieiras,"Daux 2 cuartos con aire,  centrico",2.0,1.0,5.0,True,4.0
197,30271028,Ingleses,Pequeno frente ao mar!!,1.0,1.0,,False,1.0
198,40567014,Ingleses,"Frente Mar-Praia dos Ingleses,2 dormitórios",2.0,1.0,,False,1.0
199,17748362,Ingleses,Flat Estrela do Mar Ingleses Oficial,1.0,1.0,4.0,False,9.0
200,32235249,Canasvieiras,"Bem localizado, a poucos passos da praia!",1.0,1.0,5.0,False,5.0
201,16080551,Lagoa da Conceição,Cobertura Duplex com excelente área de convivência,3.0,3.0,5.0,False,4.0
202,28081624,Canasvieiras,Ótimo apartamento em Canasvieiras,1.0,1.0,5.0,False,6.0
203,11014616,Jurerê,Aproveite Jurerê - Perto do mar!!,,1.0,4.5,False,94.0
204,39612683,Ingleses,1 dormitório na Gaivotas a 100 com ar (02 B),1.0,1.0,,False,0.0
205,43570283,Canasvieiras,Apartamento Família Econômico - Canasvieiras,2.0,1.0,5.0,False,11.0
206,41086695,Ingleses,"Apartamento com vista p/ mar, a 1 quadra da praia.",2.0,2.0,,False,1.0
207,21391221,Canasvieiras,Apto 2 dorm a 2 quadras do mar em Canasvieiras.,2.0,1.0,5.0,False,7.0
208,40488313,Ingleses,Excelente apto para desfrutar o  melhor Floripa,2.0,2.0,5.0,False,5.0
209,45467445,Canasvieiras,"Apartamento no Centro de Canasvieiras,1 dormitório",1.0,1.0,,False,0.0
210,40290483,Ingleses,Confortável Flat nos Ingleses c/ Garagem Privativa,1.0,1.0,4.5,True,7.0
211,39391076,Jurerê,Apartamento aconchegante em Jurerê Internacional!,2.0,2.0,5.0,True,13.0
212,27579030,Ingleses,Apto 01 quarto nos Ingleses - 50 metros da praia,1.0,1.0,5.0,False,6.0
213,40416679,Ingleses,"Cobertura com 5 suítes, jacuzzi e vista para o mar",5.0,,,True,2.0
214,23309111,Ingleses,Apartamento novo em condomínio Praia dos Ingleses,3.0,2.0,5.0,False,9.0
215,40568181,Ingleses,Resid. Abílio apto 04 p/ 6 pessoas,2.0,1.0,,False,0.0
216,44479074,Canasvieiras,Apartamento 2  mobiliado,1.0,1.0,,False,0.0
217,31174554,Ingleses,APARTAMENTO NA PRAIA DOS INGLESES,2.0,1.0,,False,1.0
218,28662943,Canasvieiras,Triplex Jurerê,3.0,3.0,,False,1.0
219,31217871,Canasvieiras,Espectacular Apt en Canasvieiras NUEVO a estrenar!,2.0,2.0,,False,2.0
220,40319923,Canasvieiras,Apartamento com 3 suítes a menos de 60 metros do mar,3.0,3.0,,False,1.0
221,10604132,Ingleses,Lindo ap a poucos metros do mar! A06,2.0,2.0,,False,1.0
222,22965539,Ingleses,Apartamentos de 01 dormitórios,1.0,1.0,,False,2.0
223,16566374,Ingleses,Cobertura em Ingleses simples e aconchegante,2.0,1.0,,False,1.0
224,39522100,Centro,Apartamento moderno e totalmente reformado ao lado do Shopping Beira-mar - CA06E,3.0,2.0,,True,1.0
225,39828799,Lagoa da Conceição,Pousada Dona Jurema kitnet 04,1.0,1.0,5.0,True,6.0
226,44441269,Centro,Balneário Camboriú - Apartamento frente p/ o Mar,2.0,2.0,,False,0.0
227,11355938,Ingleses,Apto em frente ao mar 2 quartos,2.0,1.0,,False,1.0
228,22258818,Lagoa da Conceição,Apartamento  aconchegante no centrinho da Lagoa,1.0,1.0,5.0,True,48.0
229,27139525,Ingleses,Cobertura Ingleses com Sinuca e Jacuzzi,4.0,3.0,5.0,True,31.0
230,31684076,Canasvieiras,Casas Amarelas 4 PAX,1.0,1.0,,False,2.0
231,21784648,Ingleses,Ingleses Norte. Todo conforto e segurança!,1.0,1.0,5.0,True,36.0
232,22095997,Canasvieiras,"Apartamento centro Canasvieiras,100 metros do mar.",1.0,1.0,5.0,False,5.0
233,30792802,Centro,Apartamento Aconchegante no centro de Floripa!,1.0,1.0,4.5,False,3.0
234,40089939,Ingleses,Apt c / Piscina Privativa,2.0,1.0,,False,0.0
235,16515471,Ingleses,Amplo Apto a duas quadras da praia dos Ingleses,3.0,2.0,5.0,False,4.0
236,39441569,Canasvieiras,Apartamento na praia de Canasvieiras,1.0,1.0,5.0,False,8.0
237,39714946,Ingleses,Amplo apto no centrinho de ingleses,1.0,1.0,,True,1.0
238,15647623,Canasvieiras,Res. Lirios Duplex 02,2.0,2.0,,False,1.0
239,44395539,Canasvieiras,Apto em Canasvieirias Cond. Cidades Portuguesas,2.0,2.0,,False,0.0
240,2636563,Canasvieiras,Apto na praia Pé na Areia ( 2505 ),1.0,1.0,5.0,True,81.0
241,10960141,Canasvieiras,Clean de frente p/ a praia 3 suítes,3.0,4.0,,False,1.0
242,2307540,Lagoa da Conceição,Kitnet  pertinho lagoa maravilhosa,1.0,1.0,4.5,False,5.0
243,20982437,Ingleses,Apartamento NOVO-Praia dos INGLESES - 300m do mar,2.0,2.0,4.5,False,4.0
244,39385899,Ingleses,Flat na beira da praia (INGLESES),2.0,1.0,,False,0.0
245,43769434,Lagoa da Conceição,Super Suíte pertinho da Praia da Joaquina (ap 509),,1.0,,False,0.0
246,22552709,Canasvieiras,Apto de 2 quartos em condomínio frente a praia.,2.0,1.0,5.0,False,3.0
247,45187853,Ingleses,Cobertura Luxuosa na Praia dos Ingleses,3.0,3.0,5.0,True,3.0
248,30933847,Ingleses,Apto térreo com churrasqueira p/6 pessoas Ingleses,2.0,2.0,,False,1.0
249,2353434,Jurerê,Guest House charmoso e acolhedor 1,1.0,1.0,5.0,True,94.0
250,40525605,Ingleses,Apto nos Ingleses com ótima localização.,2.0,1.0,,False,0.0
251,31100841,Ingleses,Apartamento na Praia dos Ingleses 1200m do mar,2.0,2.0,5.0,False,6.0
252,33392656,Ingleses,Apartamento Ingleses dois dormitorios,2.0,2.0,,False,0.0
253,16944596,Ingleses,Aconchego proximo ao mar de Ingleses,2.0,2.0,5.0,True,12.0
254,37458878,Canasvieiras,Apartamento Canasvieiras,2.0,1.0,5.0,False,7.0
255,22681592,Ingleses,Apartamento Florianópolis Ingleses 3 quartos,3.0,2.0,,False,1.0
256,21913564,Centro,Apartamento Inteiro - área nobre,2.0,1.0,,False,0.0
257,15765845,Ingleses,"Apto Novo!  400m da praia,  WIFI, TVcabo, AC Split",2.0,2.0,5.0,True,36.0
258,35842893,Ingleses,Estrela do Mar- Ingleses/Florianópolis (10m praia),1.0,1.0,4.5,False,5.0
259,2693585,Centro,Flat aconchegante no Centro,1.0,1.0,5.0,True,103.0
260,20362051,Ingleses,Lindo apartamento 2 quartos c/ suíte,2.0,2.0,5.0,False,6.0
261,31551365,Canasvieiras,Linda Cobertura entre Canasvieiras e Jurerê,1.0,1.0,,False,0.0
262,40799088,Canasvieiras,Palm Beach,1.0,1.0,,False,2.0
263,8552449,Ingleses,Apartamento Praia dos Ingleses 80m do mar,2.0,2.0,4.5,False,41.0
264,29391408,Ingleses,cobertura,5.0,3.0,0.0,False,
265,32660303,Canasvieiras,PRAIA E NATUREZA CANASVIEIRAS estúdio VISTA P/ MAR,,1.0,5.0,True,27.0
266,16426059,Ingleses,Triplex na Praia dos Ingleses a 60 metros da praia,2.0,2.0,5.0,True,68.0
267,24377438,Canasvieiras,Apartamentos Marollas 02,1.0,1.0,5.0,True,4.0
268,39924936,Ingleses,Lindo Apto com piscina a 50m da Praia nos Ingleses,3.0,2.0,,False,1.0
269,15844989,Centro,Apt completo na melhor localização!,3.0,1.0,,False,0.0
270,16112416,Canasvieiras,104 NO CENTRO DE CANASVIEIRAS PERTINHO DA PRAIA,1.0,1.0,,False,0.0
271,22598127,Ingleses,Apartamento a 120m da praia com 2 quartos(1 suíte),2.0,2.0,5.0,False,11.0
272,33606840,Centro,Belíssimo Apto 1D Suíte Hidro/Split/VistaMar/4Pess,1.0,2.0,4.5,False,50.0
273,28012779,Jurerê,Hotel Jurerê Beach Village,1.0,1.0,4.5,False,34.0
274,26064856,Ingleses,Residencial Henri Matisse,1.0,1.0,,False,0.0
275,24727851,Ingleses,PÉ NA AREIA/ VISTA MARAVILHOSA/ 4 QUARTOS COM AR,4.0,3.0,4.5,False,8.0
